"PARENT.ID","ID","LENGTH","START","END","CLASS","X.FIT..D","X..COG.","Y..COG.","FRACT..DIM.","TRAPPEDNESS","EFFICENCY","STRAIGHTNESS","SPEED","KURTOSIS","X.FIT..ALPHA","GAUSSIANITY","Asymmetry","MSDRatio","Loc..noise_sigma","Fit.Goodness","Alpha.Fit.Goodness","Confidence","COND"
76,213,13,21,33,"CONFINED",0.7738,3.302,3.951,2.202,0.997,0.016,0.15,0.401,2.161,0.921,0.02,0.038,19.467,0.04,1,0.942,0.546,"BeforeLatB1"
98,252,27,42,68,"CONFINED",6.831e-13,1.901,1.504,4.363,-0.227,0.005,0.081,0.058,2.153,1.102e-11,-0.145,0.003,1.3,0.025,-0.063,-0.029,0.674,"BeforeLatB1"
98,254,28,154,181,"CONFINED",2.669e-05,1.856,1.554,3.182,-0.227,0.002,0.047,0.036,3.582,4.755e-12,0.004,0.049,1.93,0.027,-0.061,-0.028,0.787,"BeforeLatB1"
110,267,12,86,97,"CONFINED",1.418e-11,6.923,2.497,3.146,-0.227,0.009,0.123,0.087,1.996,1.937e-11,-0.049,0.045,1.436,0.029,-0.267,-0.105,0.789,"BeforeLatB1"
113,288,13,99,111,"CONFINED",1057,2.422,4.572,3.312,0.995,0.001,0.035,0.057,1.707,0.237,-0.159,0.09,0.693,0.035,0.981,0.211,0.687,"BeforeLatB1"
133,317,12,58,69,"CONFINED",2.677e-11,6.117,7.69,2.382,0.06,0.045,0.249,0.376,4.067,8.646e-11,0.252,0.107,1.194,0.045,-0.267,-0.105,0.743,"BeforeLatB1"
142,331,11,62,72,"CONFINED",0.2544,0.058,1.084,2.166,0.989,0.005,0.087,0.204,1.736,0.802,0.344,0.096,6.64,0.042,1,0.945,0.748,"BeforeLatB1"
162,365,11,118,128,"CONFINED",1.247e-11,5.564,5.96,4.432,-0.227,0.008,0.106,0.096,1.575,1.23e-12,-0.201,0.031,0.533,0.031,-0.364,-0.125,0.818,"BeforeLatB1"
162,367,10,143,152,"CONFINED",3.193e-11,5.564,5.948,3.739,0.298,0.012,0.126,0.151,1.294,2.772e-12,-0.138,0.187,1.689,0.041,-0.444,-0.143,0.779,"BeforeLatB1"
181,415,16,94,109,"CONFINED",5.184e-13,0.43,3.482,3.343,-0.227,0.003,0.059,0.143,1.97,8.335e-12,-0.183,0.121,1.414,0.09,-0.154,-0.065,0.754,"BeforeLatB1"
192,437,11,127,137,"CONFINED",2.515e-12,0.153,5.625,5.355,-0.227,0.002,0.043,0.152,1.485,7.325e-13,-0.197,0.017,11.76,0.119,-0.364,-0.125,0.863,"BeforeLatB1"
202,455,14,131,144,"CONFINED",7.551e-05,5.554,6.914,3.533,0.455,0,0,0,1.97,0.313,-0.198,0.035,0.492,0.022,0.734,0.438,0.682,"BeforeLatB1"
227,505,17,125,141,"CONFINED",2.037e-12,6.238,5.748,3.047,-0.227,0.002,0.049,0.043,2.722,8.011e-12,-0.173,0.069,0.456,0.032,-0.138,-0.059,0.752,"BeforeLatB1"
323,689,12,195,206,"CONFINED",1.185,2.787,6.89,3.113,-0.227,0.006,0.095,0.124,1.918,0.062,-0.17,0.047,1.027,0.051,0.252,0.452,0.861,"BeforeLatB1"
327,691,12,179,190,"CONFINED",1.585e-12,7.083,6.573,3.376,-0.227,0.01,0.115,0.138,2.095,1.999e-11,-0.211,0.018,3.709,0.046,-0.267,-0.105,0.814,"BeforeLatB1"
456,899,13,271,283,"CONFINED",1.322e-10,3.6,7.902,4.362,0.984,0.004,0.073,0.17,1.465,6.403e-12,-0.395,0.077,0.819,0.075,-0.222,-0.087,0.822,"BeforeLatB1"
464,911,14,270,283,"CONFINED",5.618e-13,6.954,7.671,3.332,0.811,0.002,0.046,0.052,2.308,4.179e-12,-0.18,0.061,0.745,0.03,-0.211,-0.083,0.722,"BeforeLatB1"
476,930,16,272,287,"CONFINED",1.99e-12,6.71,2.487,4.485,-0.227,0.001,0.039,0.045,1.923,3.278e-12,-0.213,0.044,0.978,0.042,-0.154,-0.065,0.797,"BeforeLatB1"
5,12,40,28,67,"DIRECTED/ACTIVE",0.02601,4.235,2.51,1.293,0.459,0.098,0.397,0.363,5.289,1.119,1.184,0.452,-0.075,0.025,0.614,0.838,0.654,"BeforeLatB1"
5,14,19,95,113,"DIRECTED/ACTIVE",0.02791,4.581,2.042,1.543,0.664,0.063,0.305,0.478,2.254,1.107,0.132,0.012,-0.059,0.03,0.948,0.948,0.627,"BeforeLatB1"
7,24,15,13,27,"DIRECTED/ACTIVE",0.02329,2.531,3.341,1.173,0.469,0.155,0.487,0.838,1.24,1.525,0.385,0.67,-0.13,0.041,0.985,0.982,0.67,"BeforeLatB1"
9,41,12,42,53,"DIRECTED/ACTIVE",0.0337,0.433,4.95,1.409,0.679,0.136,0.48,0.782,1.615,0.905,0.403,0.355,-0.096,0.047,0.955,0.771,0.665,"BeforeLatB1"
19,78,35,23,57,"DIRECTED/ACTIVE",0.02646,3.357,0.241,1.316,0.474,0.067,0.337,0.333,2.109,1.413,0.862,0.496,-0.099,0.026,0.988,0.995,0.685,"BeforeLatB1"
27,89,15,0,14,"DIRECTED/ACTIVE",0.07345,0.915,0.179,1.337,0.036,0.09,0.371,0.74,1.457,0.686,-0.158,0.553,0.385,0.042,0.643,0.616,0.651,"BeforeLatB1"
33,98,18,1,18,"DIRECTED/ACTIVE",0.08615,6.442,2.4,1.26,0.705,0.173,0.537,0.967,1.355,1.184,0.934,0.445,0.021,0.05,0.888,0.942,0.666,"BeforeLatB1"
34,101,17,19,35,"DIRECTED/ACTIVE",0.02698,0.654,2.544,1.328,-0.227,0.112,0.408,0.544,1.63,0.794,0.145,0.552,0.041,0.037,0.721,0.721,0.675,"BeforeLatB1"
39,112,13,2,14,"DIRECTED/ACTIVE",0.03853,0.892,7.72,1.413,0.279,0.117,0.413,0.726,1.714,0.977,-0.202,0.196,0.047,0.026,0.88,0.896,0.682,"BeforeLatB1"
41,118,18,23,40,"DIRECTED/ACTIVE",0.03303,5.664,1.147,1.465,0.57,0.093,0.345,0.699,1.238,1.189,-0.171,0.389,-0.078,0.036,0.954,0.944,0.643,"BeforeLatB1"
46,132,14,17,30,"DIRECTED/ACTIVE",0.05759,6.731,3.466,1.473,0.892,0.062,0.331,0.866,1.884,1.523,0.752,0.052,0.145,0.075,0.982,0.985,0.613,"BeforeLatB1"
51,148,11,9,19,"DIRECTED/ACTIVE",0.05735,3.531,3.942,1.289,0.055,0.142,0.433,0.894,1.325,0.845,-0.044,0.63,0.049,0.02,-2.842,0.75,0.679,"BeforeLatB1"
54,152,12,3,14,"DIRECTED/ACTIVE",0.06648,2.723,4.333,1.401,-0.047,0.139,0.462,0.966,1.273,0.775,-0.054,0.406,-0.018,0.05,0.602,0.749,0.491,"BeforeLatB1"
61,164,30,38,67,"DIRECTED/ACTIVE",0.03369,2.169,3.187,1.241,0.492,0.129,0.487,0.631,2.321,1.302,1.12,0.538,-0.041,0.03,0.968,0.983,0.586,"BeforeLatB1"
62,166,13,9,21,"DIRECTED/ACTIVE",0.0731,3.6,2.388,1.465,0.749,0.049,0.276,0.535,1.159,1.059,-0.204,0.421,0.05,0.03,0.931,0.944,0.585,"BeforeLatB1"
64,167,14,10,23,"DIRECTED/ACTIVE",0.04162,0.429,7.923,1.375,0.471,0.054,0.37,0.493,1.441,0.846,1.08,0.476,5.551e-17,0.052,0.886,0.873,0.548,"BeforeLatB1"
77,215,11,14,24,"DIRECTED/ACTIVE",0.06528,5.385,4.665,1.262,0.825,0.178,0.594,1.075,3.845,1.63,0.663,0.563,-0.107,0.041,1,0.967,0.608,"BeforeLatB1"
80,217,11,23,33,"DIRECTED/ACTIVE",0.1414,0.407,7.76,1.32,0.699,0.15,0.573,1.294,1.451,0.767,0.498,0.379,-0.018,0.06,0.978,0.981,0.559,"BeforeLatB1"
91,242,21,34,54,"DIRECTED/ACTIVE",0.05306,0.048,2.411,1.368,0.585,0.075,0.417,0.602,2.03,0.647,1.075,0.506,0.128,0.068,0.909,0.703,0.582,"BeforeLatB1"
94,248,12,26,37,"DIRECTED/ACTIVE",0.08219,5.113,0.897,1.374,0.767,0.156,0.491,1.443,1.514,1.351,-0.067,0.445,-0.105,0.063,0.982,0.981,0.613,"BeforeLatB1"
100,258,16,34,49,"DIRECTED/ACTIVE",0.05841,1.993,3.3,1.235,0.672,0.197,0.566,1.186,1.354,1.355,1.378,0.555,-0.057,0.054,0.993,0.982,0.656,"BeforeLatB1"
121,301,14,57,70,"DIRECTED/ACTIVE",0.07371,2.191,5.803,1.422,0.764,0.121,0.43,0.992,1.317,1.022,0.656,0.334,-0.021,0.035,0.993,0.877,0.54,"BeforeLatB1"
135,319,12,55,66,"DIRECTED/ACTIVE",0.1073,1.167,1.207,1.186,0.448,0.222,0.687,1.438,1.816,0.96,1.272,0.613,-0.014,0.05,0.9,0.934,0.564,"BeforeLatB1"
137,320,14,59,72,"DIRECTED/ACTIVE",0.134,3.383,1.626,1.172,0.023,0.168,0.597,1.423,1.488,0.921,0.499,0.602,-0.068,0.05,0.814,0.848,0.587,"BeforeLatB1"
138,325,20,62,81,"DIRECTED/ACTIVE",0.01996,1.466,4.252,1.196,0.398,0.245,0.618,0.759,1.219,1.43,0.036,0.63,-0.11,0.031,0.998,0.992,0.648,"BeforeLatB1"
146,334,13,76,88,"DIRECTED/ACTIVE",0.09169,1.04,1.615,1.255,0.801,0.193,0.603,1.089,1.59,1.203,0.676,0.25,-0.031,0.039,0.961,0.986,0.603,"BeforeLatB1"
148,336,13,65,77,"DIRECTED/ACTIVE",0.2256,5.185,1.428,1.307,0.709,0.152,0.465,1.574,1.795,1.329,0.017,0.36,-0.069,0.07,0.985,0.982,0.606,"BeforeLatB1"
154,352,13,69,81,"DIRECTED/ACTIVE",0.02187,0.652,1.412,1.19,0.66,0.276,0.672,1.483,1.681,1.627,0.908,0.202,-0.081,0.083,0.989,0.992,0.873,"BeforeLatB1"
