 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
128,99.778,99.813,99.813,103.335,103.651,102.773
129,99.884,99.818,99.818,103.232,103.686,102.772
130,99.760,99.793,99.793,103.404,103.439,102.803
131,99.784,99.775,99.775,103.773,103.700,102.800
132,99.726,99.808,99.808,103.541,103.524,102.745
133,99.850,99.912,99.912,103.705,103.639,102.773
134,99.918,99.838,99.838,103.502,103.581,102.727
135,99.800,99.869,99.869,103.588,103.802,102.743
136,99.807,99.859,99.859,103.985,103.919,102.767
137,99.763,99.720,99.720,103.511,103.779,102.774
138,99.745,99.859,99.859,103.901,103.821,102.752
139,99.743,99.800,99.800,103.222,103.933,102.702
140,99.810,99.750,99.750,103.186,103.528,102.687
141,99.659,99.907,99.907,103.433,103.831,102.723
142,99.741,99.786,99.786,103.383,103.859,102.731
143,99.800,99.730,99.730,103.309,103.749,102.644
144,99.852,99.939,99.939,103.234,103.475,102.639
145,99.771,99.866,99.866,103.131,103.422,102.606
