Time,004_Cond1_cell1,004_Cond1_cell2,004_Cond1_cell3,004_Cond1_cell4,004_Cond1_cell5,005_Cond1_cell1,005_Cond1_cell2,005_Cond1_cell3,005_Cond1_cell4
86.4994,1.087986074,1.186417386,1.227474425,1.133083172,1.036376323,1.283949586,1.116636605,1.222021066,1.156656209
86.9992,1.086593497,1.181917546,1.224219132,1.132769864,1.036518346,1.28497087,1.118433199,1.222763409,1.159094853
87.5004,1.086127338,1.181642697,1.218599729,1.129534774,1.035734134,1.288044008,1.116821235,1.221403709,1.158578644
87.9998,1.086711512,1.184800256,1.22463378,1.133702503,1.034320082,1.284177054,1.114442346,1.222490711,1.155904145
88.4992,1.084286304,1.179034835,1.215579609,1.13124704,1.032356465,1.288415384,1.117893511,1.219718289,1.162085308
89.0001,1.087024252,1.185535315,1.226267615,1.136055958,1.035419214,1.286047861,1.114212741,1.218260115,1.153688005
89.5005,1.08417419,1.183016938,1.225128881,1.134329119,1.033665543,1.284195622,1.114818707,1.216381534,1.152566584
89.9991,1.081678173,1.184186641,1.224868953,1.133768079,1.033153026,1.284028503,1.11296057,1.217847282,1.152646686
90.4994,1.082138432,1.1785938,1.217850888,1.129403621,1.03081274,1.284748044,1.11390029,1.216385321,1.151049107
90.9993,1.083359887,1.182511985,1.223228929,1.134751721,1.033807565,1.284478797,1.114115692,1.214680963,1.154048461
91.5004,1.082805216,1.181674656,1.219057698,1.134176108,1.031837773,1.283253255,1.10820279,1.21325309,1.151511915
92.0002,1.082232844,1.183688079,1.224875142,1.132842727,1.031566078,1.288099715,1.110946206,1.214078757,1.154337717
92.5004,1.07724671,1.181067434,1.21920004,1.135516777,1.030399022,1.285917879,1.111564008,1.211014699,1.158712146
92.9998,1.076391102,1.179418345,1.216322262,1.133199752,1.031201759,1.28166098,1.108101007,1.209950422,1.157933382
93.5005,1.076426506,1.178868648,1.220115978,1.134365551,1.031275857,1.283239329,1.110865726,1.210109496,1.160118372
94.0003,1.073446628,1.173358901,1.214032417,1.131523917,1.027540044,1.282334099,1.109492835,1.208874783,1.157479474
94.5004,1.073747566,1.174739533,1.211513587,1.130634996,1.028633001,1.282292319,1.109895234,1.209798924,1.158649845
94.9991,1.074308137,1.175928412,1.217120613,1.132864585,1.030053228,1.280347237,1.108643062,1.209200504,1.152441982
95.5003,1.076745147,1.175001598,1.215802405,1.129673212,1.03351117,1.278759604,1.105847571,1.209094456,1.146777029
95.9998,1.072850652,1.171684244,1.208252106,1.130817152,1.027410371,1.281521714,1.106593193,1.212677395,1.144365085
96.4991,1.073617749,1.17409396,1.214849334,1.135188896,1.032319415,1.281043567,1.106124517,1.209950422,1.141276728
97.0002,1.070673276,1.171096197,1.212540923,1.13204124,1.028330431,1.27588608,1.107350651,1.208973257,1.145401954
97.5004,1.071357762,1.165982742,1.209595069,1.130904587,1.029052894,1.275389365,1.104223772,1.206363695,1.142660704
97.9993,1.073847879,1.169990412,1.208809095,1.127239608,1.029923555,1.275027273,1.102966866,1.205602415,1.140368912
98.5,1.070679176,1.167925855,1.208629621,1.128383548,1.026243316,1.278202539,1.102955031,1.203276913,1.144992546
98.9993,1.070006491,1.169824225,1.208214973,1.127210463,1.026928729,1.277622264,1.102680452,1.203973806,1.148646063
99.5004,1.071145335,1.167861937,1.207849836,1.128813436,1.024779865,1.280746466,1.104654576,1.203000428,1.152419732
100.0001,1.068489998,1.167273889,1.209656956,1.126766002,1.025835772,1.282580136,1.102221244,1.203151926,1.151925773
100.4998,1.070207116,1.171927133,1.210944221,1.13107217,1.03051017,1.280491145,1.102294623,1.200273455,1.149113321
101.0003,1.067174131,1.161636306,1.201896239,1.127013735,1.026453262,1.28309542,1.100299196,1.20383367,1.148330107
101.4993,1.067144627,1.162224353,1.204062309,1.126022806,1.025811073,1.279590558,1.100886225,1.202273235,1.146421022
102.0005,1.06684959,1.16239054,1.202601759,1.122999016,1.025033036,1.27986909,1.100751303,1.201867977,1.147715996
102.499,1.065374403,1.156369447,1.196877147,1.121505337,1.022167883,1.277715108,1.097652829,1.197732067,1.141325679
102.9996,1.070130407,1.162978587,1.205374328,1.124470837,1.02626184,1.277742961,1.096843296,1.197482095,1.1479563
103.499,1.069935682,1.166430169,1.208066443,1.126605705,1.024582268,1.273838869,1.096419594,1.195122505,1.151124758
104.0003,1.065934974,1.161278364,1.198040635,1.122802288,1.020556235,1.271763805,1.095318913,1.196118608,1.151333912
104.4993,1.069398714,1.165356344,1.203536263,1.125024591,1.023427562,1.272163034,1.093581495,1.194395313,1.145548806
105,1.065610433,1.16274209,1.1998787,1.124325112,1.022766848,1.273889933,1.094854971,1.19469831,1.145655608
105.5003,1.066766979,1.162722915,1.201413515,1.12425225,1.021488644,1.274753383,1.093820568,1.194255177,1.146719178
105.9995,1.067221337,1.160830936,1.199098915,1.124303253,1.020803231,1.272859364,1.093221703,1.19544444,1.145526556
106.4999,1.068997463,1.16112496,1.194482093,1.122678422,1.020019019,1.273402502,1.093595698,1.193539346,1.141703936
106.9997,1.063840208,1.158798338,1.187841543,1.121468906,1.018691416,1.271810227,1.09269385,1.192543243,1.147173086
107.5005,1.066153301,1.164180249,1.198306753,1.119909651,1.019734973,1.271007126,1.090011977,1.189998068,1.140413413
108.0002,1.06251844,1.160875679,1.194680133,1.120915152,1.018012177,1.267172667,1.088364507,1.190967659,1.141521483
108.4999,1.0653567,1.158555449,1.19389416,1.118649131,1.017437911,1.269906924,1.089647451,1.189126952,1.140093007
108.9992,1.065675341,1.158402045,1.192718293,1.122029946,1.016610475,1.269493768,1.087668593,1.188615644,1.14084507
